"target","subscribers","video.views","uploads","Country","channel_type","created_month","created_date","video_views_for_the_last_30_days","subscribers_for_last_30_days","created_year","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude","rgroup","predCountry","predchannel_type","predcreated_month","predcreated_date","predcreated_year","predsubscribers","predvideo.views","preduploads","predvideo_views_for_the_last_30_days","predsubscribers_for_last_30_days","predGross.tertiary.education.enrollment....","predPopulation","predUnemployment.rate","predUrban_population","predLatitude","predLongitude"
1,112000000,93247040539,1111,"United States","Entertainment","May","12",731674000,0,"2015",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.0677379600238055,0.526315681174103,0.472081368233545,0.549018678523492,0.434785514689649,0.479167134505044,0.741931607931753,0.919348101214119,0.532257570416229,0.935476873330698,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,75600000,20826993957,2281,"South Korea","Music","Dec","17",168290000,4e+05,"2012",94.3,51709098,4.15,42106719,35.907757,127.766922,0.76416074950248,0.615375865193187,0.633801886066835,0.386366255843654,0.500000101454698,0.510638106069586,0.741931607931753,0.8360600912014,0.540982961318284,0.983863189680435,0.93999123264288,0.423078433556597,0.400001451741784,0.428572588107754,0.475410265788702,0.522900682147689,0.426230744141516
1,71600000,30608119724,249,"Canada","Music","Jan","15",176326000,1e+05,"2007",68.9,36991981,5.56,30628482,56.130366,-106.346771,0.492617743322626,0.40001016132153,0.633801886066835,0.403510493208481,0.59999508141476,0.576920180892143,0.741931607931753,0.919348101214119,0.426230744141516,0.983863189680435,0.411167971854847,0.370969849250442,0.529411356059126,0.541665832448837,0.500000023872834,0.389832403236837,0.4
1,57600000,25307753534,283775,"India","News","Aug","27",461148000,5e+05,"2009",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.567517535295337,0.634781450799355,0.789458534991665,0.535713676958923,0.368428062911248,0.666662434895942,0.741931607931753,0.919348101214119,0.790317924281489,0.935476873330698,0.93999123264288,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
1,53300000,30516172739,577,"India","Education","Jun","6",815949000,1600000,"2014",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.0203494005836546,0.634781450799355,0.727265889620818,0.425533533826443,0.576920180892143,0.472727798101428,0.741931607931753,0.919348101214119,0.403227393483599,0.935476873330698,0.981472595384838,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
1,52900000,29884657286,216,"United States","Music","Sep","20",528392000,8e+05,"2006",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.783569034654647,0.526315681174103,0.633801886066835,0.590907738115735,0.608690997059981,0.500000030061973,0.741931607931753,0.919348101214119,0.426230744141516,0.935476873330698,0.981472595384838,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,43200000,36458726976,1478,"Russia","Education","May","31",303780000,3e+05,"2011",81.9,144373535,4.59,107683889,61.52401,105.318756,0.712592953350395,0.40001016132153,0.727265889620818,0.549018678523492,0.545450561165042,0.446429557032493,0.741931607931753,0.919348101214119,0.540982961318284,0.999991830025354,0.902429248637268,0.51984119754833,0.400001693694715,0.428572588107754,0.383563261097473,0.389832403236837,0.426230744141516
1,43200000,37939780685,109871,"Pakistan","Entertainment","Jul","11",1.149e+09,9e+05,"2016",9,216565318,4.45,79927762,30.375321,69.345116,0.54878760734573,0.50000040574272,0.472081368233545,0.500000030061973,0.533331219477143,0.547617952510098,0.741931607931753,0.919348101214119,0.790317924281489,0.935476873330698,0.981472595384838,0.5,0.514285662602914,0.428572588107754,0.347828315870446,0.522900682147689,0.531914249130372
1,39700000,23884824160,1596,"United Arab Emirates","People","Nov","6",247731000,3e+05,"2017",36.8,9770529,2.35,8479744,23.424076,53.847818,0.320911680813879,0.999900344606403,0.37778052984104,0.500000031218181,0.576920180892143,0.413045403868973,0.741931607931753,0.919348101214119,0.540982961318284,0.999991830025354,0.902429248637268,0.393444396376725,0.529411356059126,0.418183335273479,0.500000023872834,0.387100468480908,0.531914249130372
1,34000000,3963007415,2284,"Indonesia","Entertainment","Sep","7",547141000,5500000,"2017",36.3,270203917,4.69,151509724,-0.789275,113.921327,0.405159553745762,0.307707224319408,0.472081368233545,0.590907738115735,0.50000009018258,0.413045403868973,0.721307874024633,0.180333135905586,0.540982961318284,0.935476873330698,0.981472595384838,0.393444396376725,0.514285662602914,0.580881770158871,0.383563261097473,0.596272704041445,0.426230744141516
0,33500000,11405809704,217,"India","Comedy","Nov","11",24736000,1e+05,"2013",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.700885687023401,0.634781450799355,0.378381709234254,0.500000031218181,0.533331219477143,0.465117128052292,0.721307874024633,0.786880569554214,0.426230744141516,8.22319923646132e-06,0.411167971854847,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
1,33400000,20269857567,338,"India","Education","Aug","26",136084000,2e+05,"2008",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.300789174158126,0.634781450799355,0.727265889620818,0.535713676958923,0.519999264964466,0.529410947424388,0.721307874024633,0.8360600912014,0.426230744141516,0.983863189680435,0.80519086275992,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
0,32700000,17853798780,1521,"India","Entertainment","Mar","14",20263000,40000,"2012",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.0367010021582246,0.634781450799355,0.472081368233545,0.519999632474883,0.400005080914785,0.510638106069586,0.721307874024633,0.8360600912014,0.540982961318284,8.22319923646132e-06,0.411167971854847,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
1,31900000,19428308461,93311,"Philippines","Entertainment","Nov","20",798510000,5e+05,"2006",35.5,108116615,2.15,50975903,12.879721,121.774017,0.706754646264017,0.555549563756985,0.472081368233545,0.500000031218181,0.608690997059981,0.500000030061973,0.721307874024633,0.8360600912014,0.790317924281489,0.935476873330698,0.93999123264288,0.393444396376725,0.375002261091349,0.418183335273479,0.475410265788702,0.596272704041445,0.426230744141516
1,27100000,17318452893,889,"India","Entertainment","Sep","26",429692000,7e+05,"2015",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.451050431467593,0.634781450799355,0.472081368233545,0.590907738115735,0.519999264964466,0.479167134505044,0.612901430999123,0.8360600912014,0.532257570416229,0.935476873330698,0.981472595384838,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
0,26700000,10317306313,975,"Colombia","Comedy","Nov","13",24363000,0,"2011",55.3,50339443,9.71,40827302,4.570868,-74.297333,0.0101032597012818,0.833278057553178,0.378381709234254,0.500000031218181,0.59999508141476,0.446429557032493,0.612901430999123,0.786880569554214,0.532257570416229,8.22319923646132e-06,0.147208121827411,0.476923456921842,0.400001451741784,0.541665832448837,0.475410265788702,0.596272704041445,0.485714512983766
1,26100000,10435474336,1619,"United States","Comedy","Nov","19",68156000,4e+05,"2005",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.678004544693977,0.526315681174103,0.378381709234254,0.500000031218181,0.400004064772474,0.470590060783285,0.612901430999123,0.786880569554214,0.540982961318284,0.147546788140795,0.93999123264288,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,24800000,17387583720,1644,"United Kingdom","Entertainment","Oct","30",331889000,5e+05,"2015",60,66834405,3.85,55908316,55.378051,-3.435973,0.498887535650283,0.366671165073718,0.472081368233545,0.571427324929495,0.500000081164773,0.479167134505044,0.612901430999123,0.8360600912014,0.540982961318284,0.999991830025354,0.93999123264288,0.370969849250442,0.400001451741784,0.428572588107754,0.347828315870446,0.389832403236837,0.294121715718841
1,24800000,3699352704,1894,"United States","Entertainment","Jun","29",134412000,4e+05,"2006",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.34446326829493,0.526315681174103,0.472081368233545,0.425533533826443,0.476191687223305,0.500000030061973,0.612901430999123,0.180333135905586,0.540982961318284,0.967205482260563,0.93999123264288,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
0,23700000,7451792132,0,"Canada","Games","Nov","30",0,1,"2012",68.9,36991981,5.56,30628482,56.130366,-106.346771,0.6147267119959,0.40001016132153,0.366668915907679,0.500000031218181,0.500000081164773,0.510638106069586,0.612901430999123,0.393444396376725,0.501623376623377,0.501623376623377,0.411167971854847,0.370969849250442,0.529411356059126,0.541665832448837,0.500000023872834,0.389832403236837,0.4
0,23600000,6766461070,552,"United States","Entertainment","Aug","30",44542000,4e+05,"2013",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.0673663057386875,0.526315681174103,0.472081368233545,0.535713676958923,0.500000081164773,0.465117128052292,0.612901430999123,0.393444396376725,0.403227393483599,8.09056912990721e-06,0.93999123264288,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,22900000,16298342829,1159,"Jordan","Music","Nov","1",169056000,3e+05,"2012",34.4,10101694,14.72,9213048,30.585164,36.238414,0.091127741150558,0.999750936220202,0.633801886066835,0.500000031218181,0.500000067637874,0.510638106069586,0.612901430999123,0.8360600912014,0.532257570416229,0.983863189680435,0.902429248637268,0.393444396376725,0.529411356059126,0.999750936220202,0.500000023872834,0.522900682147689,0.531914249130372
1,22600000,13405849040,171,"United States","Music","Nov","19",95253000,0,"2007",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.203907408285886,0.526315681174103,0.633801886066835,0.500000031218181,0.400004064772474,0.576920180892143,0.689651930542174,0.693545291582017,0.467742481949914,0.983863189680435,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,22000000,9924807127,157,"United States","Music","Sep","9",111500000,1e+05,"2009",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.303725936217234,0.526315681174103,0.633801886066835,0.590907738115735,0.516128564348783,0.666662434895942,0.689651930542174,0.786880569554214,0.467742481949914,0.967205482260563,0.411167971854847,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,21300000,6269945014,733,"United States","People","Apr","13",160227000,2e+05,"2017",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.361997376894578,0.526315681174103,0.37778052984104,0.441861854919109,0.59999508141476,0.413045403868973,0.689651930542174,0.306454760784126,0.491803439671098,0.983863189680435,0.80519086275992,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,21300000,5141834668,1608,"United States","Entertainment","Aug","21",68350000,2e+05,"2014",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.189325390383601,0.526315681174103,0.472081368233545,0.535713676958923,0.391309144097066,0.472727798101428,0.689651930542174,0.306454760784126,0.540982961318284,0.147546788140795,0.80519086275992,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
0,21100000,4526271677,2325,"Indonesia","Entertainment","Jun","4",26974000,1e+05,"2016",36.3,270203917,4.69,151509724,-0.789275,113.921327,0.76151705509983,0.307707224319408,0.472081368233545,0.425533533826443,0.559997665028464,0.547617952510098,0.689651930542174,0.180333135905586,0.540982961318284,8.22319923646132e-06,0.411167971854847,0.393444396376725,0.514285662602914,0.580881770158871,0.383563261097473,0.596272704041445,0.426230744141516
0,21000000,4380564906,403,"United States","Entertainment","Jul","21",2476000,0,"2006",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.101169663947076,0.526315681174103,0.472081368233545,0.500000030061973,0.391309144097066,0.500000030061973,0.689651930542174,0.180333135905586,0.403227393483599,1.00322668871298e-05,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,21000000,7762905663,2883,"Brazil","Entertainment","Aug","26",118410000,4e+05,"2015",51.3,212559417,12.08,183241641,-14.235004,-51.92528,0.170429712394252,0.404257390765657,0.472081368233545,0.535713676958923,0.519999264964466,0.479167134505044,0.689651930542174,0.64515897523228,0.629030203115702,0.967205482260563,0.93999123264288,0.476923456921842,0.400001693694715,0.360001888286511,0.383563261097473,0.38596694134097,0.485714512983766
1,21000000,10631638628,420,"United States","Entertainment","Mar","25",80062000,1e+05,"2013",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.440822484204546,0.526315681174103,0.472081368233545,0.519999632474883,0.615375865193187,0.465117128052292,0.689651930542174,0.786880569554214,0.403227393483599,0.983863189680435,0.411167971854847,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
0,20600000,4956090094,15,"Indonesia","Entertainment","Jul","23",85,1,"2007",36.3,270203917,4.69,151509724,-0.789275,113.921327,0.62178197549656,0.307707224319408,0.472081368233545,0.500000030061973,0.599993441995642,0.576920180892143,0.689651930542174,0.306454760784126,0.277781922989882,1.00322668871298e-05,0.411167971854847,0.393444396376725,0.514285662602914,0.580881770158871,0.383563261097473,0.596272704041445,0.426230744141516
1,20300000,11819051552,875,"Indonesia","Education","Jan","14",112768000,1e+05,"2019",36.3,270203917,4.69,151509724,-0.789275,113.921327,0.611800413113087,0.307707224319408,0.727265889620818,0.403510493208481,0.400005080914785,0.411769991375603,0.689651930542174,0.786880569554214,0.532257570416229,0.967205482260563,0.411167971854847,0.393444396376725,0.514285662602914,0.580881770158871,0.383563261097473,0.596272704041445,0.426230744141516
1,20200000,2951914200,460,"Colombia","Entertainment","Jul","20",263864000,1600000,"2009",55.3,50339443,9.71,40827302,4.570868,-74.297333,0.33324878429994,0.833278057553178,0.472081368233545,0.500000030061973,0.608690997059981,0.666662434895942,0.689651930542174,0.161295811734918,0.403227393483599,0.999991830025354,0.981472595384838,0.476923456921842,0.400001451741784,0.541665832448837,0.475410265788702,0.596272704041445,0.485714512983766
0,20000000,3875172235,1527,"United Kingdom","Entertainment","Apr","29",39228000,2e+05,"2006",60,66834405,3.85,55908316,55.378051,-3.435973,0.429590799380094,0.366671165073718,0.472081368233545,0.441861854919109,0.476191687223305,0.500000030061973,0.412699824183372,0.180333135905586,0.540982961318284,8.09056912990721e-06,0.80519086275992,0.370969849250442,0.400001451741784,0.428572588107754,0.347828315870446,0.389832403236837,0.294121715718841
0,19800000,12293479945,9930,"United States","News","Nov","16",16229,0,"2013",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.115301762474701,0.526315681174103,0.789458534991665,0.500000031218181,0.444447620875319,0.465117128052292,0.412699824183372,0.786880569554214,0.491803439671098,1.00322668871298e-05,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
0,19300000,264228052,335,"India","Howto","Mar","2",37167000,3e+05,"2021",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.253417809261009,0.634781450799355,0.15385952937874,0.519999632474883,0.409095114920986,0.545450561165042,0.412699824183372,0.100006693611384,0.426230744141516,8.09056912990721e-06,0.902429248637268,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
0,19000000,4924054368,60,"United States","Entertainment","Feb","20",21587000,1e+05,"2018",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.519329422619194,0.526315681174103,0.472081368233545,0.54999879061465,0.608690997059981,0.666660554178609,0.412699824183372,0.306454760784126,0.277781922989882,8.22319923646132e-06,0.411167971854847,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,19000000,16014044618,79,"United Kingdom","Music","Feb","11",102410000,1e+05,"2007",60,66834405,3.85,55908316,55.378051,-3.435973,0.794627267168835,0.366671165073718,0.633801886066835,0.54999879061465,0.533331219477143,0.576920180892143,0.412699824183372,0.693545291582017,0.277781922989882,0.983863189680435,0.411167971854847,0.370969849250442,0.400001451741784,0.428572588107754,0.347828315870446,0.389832403236837,0.294121715718841
0,18800000,3654621568,2072,"United States","Education","Mar","1",29874000,1e+05,"2011",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.347833568230271,0.526315681174103,0.727265889620818,0.519999632474883,0.500000067637874,0.446429557032493,0.412699824183372,0.180333135905586,0.540982961318284,8.22319923646132e-06,0.411167971854847,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,18600000,20196704276,6287,"Thailand","Music","Jan","15",168597000,1e+05,"2014",49.3,69625582,0.75,35294600,15.870032,100.992541,0.636444434290752,0.555549563756985,0.633801886066835,0.403510493208481,0.59999508141476,0.472727798101428,0.412699824183372,0.8360600912014,0.491803439671098,0.983863189680435,0.411167971854847,0.476923456921842,0.375002261091349,0.555555555555556,0.500000023872834,0.596272704041445,0.555549563756985
0,18500000,2908120896,1329,"Brazil","Music","Sep","22",6.148e+09,1e+05,"2007",51.3,212559417,12.08,183241641,-14.235004,-51.92528,0.665443781530485,0.404257390765657,0.633801886066835,0.590907738115735,0.555553558141425,0.576920180892143,0.412699824183372,0.161295811734918,0.532257570416229,0.501623376623377,0.411167971854847,0.476923456921842,0.400001693694715,0.360001888286511,0.383563261097473,0.38596694134097,0.485714512983766
0,18400000,11544297793,3159,"Thailand","Music","Mar","8",54133000,1e+05,"2011",49.3,69625582,0.75,35294600,15.870032,100.992541,0.557038721628487,0.555549563756985,0.633801886066835,0.519999632474883,0.565214626467398,0.446429557032493,0.412699824183372,0.786880569554214,0.629030203115702,0.147546788140795,0.411167971854847,0.476923456921842,0.375002261091349,0.555555555555556,0.500000023872834,0.596272704041445,0.555549563756985
0,18100000,9983065083,1521,"France","Entertainment","Jan","9",48099000,1e+05,"2011",65.6,67059887,8.43,54123364,46.227638,2.213749,0.76743165939115,0.000250686345139119,0.472081368233545,0.403510493208481,0.516128564348783,0.446429557032493,0.412699824183372,0.786880569554214,0.540982961318284,0.147546788140795,0.411167971854847,0.370969849250442,0.375002261091349,0.541665832448837,0.347828315870446,0.324329116061096,0.531914249130372
